id	teruletid	novenyid	ev	termes
6238	272	4	2004	10
6239	272	1	2005	2
6240	272	5	2006	14
6241	272	1	2007	10
6242	272	9	2008	7
6243	272	3	2009	0
6244	272	12	2010	1
6245	272	7	2011	14
6246	272	10	2012	6
6247	272	10	2013	12
6248	272	13	2014	8
6249	272	11	2015	12
6250	272	7	2016	2
6251	272	2	2017	7
6252	272	12	2018	10
6253	272	2	2019	12
6254	272	1	2020	10
6255	272	3	2021	13
6256	272	9	2022	11
6257	273	3	2000	6
6258	273	9	2001	10
6259	273	2	2002	15
6260	273	10	2003	7
6261	273	10	2004	6
6262	273	8	2005	4
6263	273	8	2006	10
6264	273	10	2007	5
6265	273	11	2008	3
6266	273	12	2009	14
6267	273	9	2010	14
6268	273	2	2011	6
6269	273	9	2012	2
6270	273	6	2013	10
6271	273	13	2014	4
6272	273	2	2015	15
6273	273	2	2016	2
6274	273	11	2017	5
6275	273	6	2018	4
6276	273	3	2019	12
6277	273	4	2020	10
6278	273	1	2021	5
6279	273	12	2022	13
6280	274	5	2000	2
6281	274	3	2001	15
6282	274	13	2002	2
6283	274	4	2003	6
6284	274	2	2004	9
6285	274	6	2005	2
6286	274	2	2006	5
6287	274	1	2007	5
6288	274	9	2008	4
6289	274	7	2009	1
6290	274	9	2010	7
6291	274	5	2011	6
6292	274	6	2012	14
6293	274	3	2013	12
6294	274	5	2014	0
6295	274	4	2015	10
6296	274	3	2016	13
6297	274	7	2017	9
6298	274	1	2018	8
6299	274	3	2019	9
6300	274	11	2020	14
6301	274	1	2021	13
6302	274	13	2022	15
6303	275	3	2000	1
6304	275	1	2001	14
6305	275	4	2002	6
6306	275	2	2003	0
6307	275	13	2004	12
6308	275	4	2005	7
6309	275	4	2006	15
6310	275	1	2007	8
6311	275	7	2008	5
6312	275	2	2009	0
6313	275	10	2010	12
6314	275	12	2011	14
6315	275	3	2012	6
6316	275	1	2013	0
6317	275	1	2014	14
6318	275	9	2015	3
6319	275	10	2016	9
6320	275	5	2017	14
6321	275	1	2018	13
6322	275	3	2019	10
6323	275	2	2020	6
6324	275	7	2021	4
6325	275	12	2022	0
6326	276	10	2000	8
6327	276	6	2001	13
6328	276	11	2002	0
6329	276	8	2003	6
6330	276	5	2004	14
6331	276	2	2005	7
6332	276	12	2006	6
6333	276	7	2007	11
6334	276	3	2008	0
6335	276	13	2009	8
6336	276	3	2010	6
6337	276	3	2011	1
6338	276	6	2012	4
6339	276	8	2013	0
6340	276	2	2014	10
6341	276	3	2015	5
6342	276	11	2016	11
6343	276	13	2017	1
6344	276	10	2018	1
6345	276	3	2019	0
6346	276	11	2020	12
6347	276	9	2021	5
6348	276	12	2022	7
6349	277	12	2000	9
6350	277	6	2001	5
6351	277	8	2002	14
6352	277	3	2003	11
6353	277	8	2004	1
6354	277	11	2005	15
6355	277	10	2006	0
6356	277	9	2007	2
6357	277	10	2008	0
6358	277	9	2009	15
6359	277	12	2010	4
6360	277	6	2011	10
6361	277	1	2012	13
6362	277	13	2013	5
6363	277	10	2014	4
6364	277	10	2015	10
6365	277	13	2016	6
6366	277	5	2017	4
6367	277	13	2018	4
6368	277	6	2019	0
6369	277	7	2020	13
6370	277	9	2021	3
6371	277	6	2022	12
6372	278	10	2000	15
6373	278	10	2001	14
6374	278	9	2002	2
6375	278	3	2003	0
6376	278	12	2004	11
6377	278	6	2005	0
6378	278	11	2006	3
6379	278	12	2007	2
6380	278	6	2008	15
6381	278	5	2009	4
6382	278	11	2010	6
6383	278	7	2011	10
6384	278	1	2012	2
6385	278	9	2013	3
6386	278	7	2014	9
6387	278	4	2015	1
6388	278	6	2016	2
6389	278	3	2017	4
6390	278	5	2018	10
6391	278	6	2019	0
6392	278	9	2020	7
6393	278	11	2021	13
6394	278	6	2022	9
6395	279	13	2000	10
6396	279	8	2001	4
6397	279	13	2002	7
6398	279	10	2003	7
6399	279	2	2004	13
6400	279	13	2005	0
6401	279	1	2006	5
6402	279	4	2007	1
6403	279	13	2008	15
6404	279	13	2009	9
6405	279	9	2010	9
6406	279	10	2011	10
6407	279	9	2012	8
6408	279	5	2013	6
6409	279	7	2014	7
6410	279	9	2015	1
6411	279	12	2016	3
6412	279	12	2017	3
6413	279	5	2018	15
6414	279	9	2019	5
6415	279	12	2020	10
6416	279	7	2021	13
6417	279	11	2022	13
6418	280	1	2000	11
6419	280	4	2001	8
6420	280	4	2002	5
6421	280	2	2003	6
6422	280	1	2004	8
6423	280	12	2005	8
6424	280	5	2006	5
6425	280	13	2007	14
6426	280	2	2008	14
6427	280	2	2009	13
6428	280	8	2010	2
6429	280	13	2011	8
6430	280	1	2012	1
6431	280	12	2013	6
6432	280	12	2014	10
6433	280	11	2015	4
6434	280	6	2016	8
6435	280	11	2017	14
6436	280	13	2018	11
6437	280	12	2019	2
6438	280	10	2020	9
6439	280	2	2021	1
6440	280	8	2022	2
6441	281	7	2000	2
6442	281	1	2001	8
6443	281	11	2002	7
6444	281	7	2003	15
6445	281	11	2004	0
6446	281	1	2005	8
6447	281	1	2006	3
6448	281	9	2007	10
6449	281	13	2008	4
6450	281	2	2009	12
6451	281	4	2010	12
6452	281	1	2011	8
6453	281	5	2012	11
6454	281	10	2013	10
6455	281	7	2014	14
6456	281	2	2015	12
6457	281	9	2016	13
6458	281	5	2017	0
6459	281	8	2018	13
6460	281	4	2019	7
6461	281	10	2020	9
6462	281	6	2021	14
6463	281	8	2022	8
6464	282	12	2000	1
6465	282	11	2001	0
6466	282	12	2002	12
6467	282	3	2003	4
6468	282	6	2004	1
6469	282	7	2005	12
6470	282	6	2006	7
6471	282	1	2007	10
6472	282	13	2008	14
6473	282	11	2009	4
6474	282	13	2010	1
6475	282	6	2011	9
6476	282	2	2012	9
6477	282	3	2013	6
6478	282	7	2014	15
6479	282	6	2015	7
6480	282	12	2016	3
6481	282	8	2017	14
6482	282	1	2018	3
6483	282	13	2019	1
6484	282	2	2020	15
6485	282	9	2021	1
6486	282	9	2022	9
6487	283	7	2000	15
6488	283	2	2001	11
6489	283	10	2002	15
6490	283	3	2003	3
6491	283	12	2004	15
6492	283	11	2005	8
6493	283	4	2006	3
6494	283	9	2007	6
6495	283	5	2008	12
6496	283	6	2009	15
6497	283	3	2010	9
6498	283	2	2011	3
6499	283	1	2012	0
6500	283	13	2013	0
6501	283	6	2014	13
6502	283	7	2015	15
6503	283	4	2016	9
6504	283	9	2017	1
6505	283	2	2018	5
6506	283	2	2019	4
6507	283	8	2020	11
6508	283	4	2021	13
6509	283	10	2022	9
6510	284	4	2000	14
6511	284	1	2001	9
6512	284	8	2002	11
6513	284	10	2003	9
6514	284	9	2004	12
6515	284	9	2005	5
6516	284	8	2006	10
6517	284	13	2007	15
6518	284	9	2008	4
6519	284	7	2009	1
6520	284	8	2010	7
6521	284	8	2011	14
6522	284	13	2012	9
6523	284	6	2013	5
6524	284	8	2014	10
6525	284	4	2015	11
6526	284	10	2016	10
6527	284	12	2017	12
6528	284	4	2018	9
6529	284	3	2019	10
6530	284	10	2020	13
6531	284	3	2021	8
6532	284	6	2022	5
6533	285	12	2000	3
6534	285	10	2001	4
6535	285	13	2002	13
6536	285	12	2003	15
6537	285	2	2004	4
6538	285	11	2005	5
6539	285	4	2006	1
6540	285	5	2007	1
6541	285	12	2008	10
6542	285	11	2009	15
6543	285	8	2010	6
6544	285	12	2011	7
6545	285	4	2012	14
6546	285	10	2013	4
6547	285	3	2014	15
6548	285	4	2015	11
6549	285	4	2016	5
6550	285	8	2017	3
6551	285	5	2018	15
6552	285	9	2019	13
6553	285	11	2020	5
6554	285	7	2021	0
6555	285	11	2022	5
6556	286	6	2000	12
6557	286	8	2001	13
6558	286	2	2002	13
6559	286	7	2003	13
6560	286	5	2004	8
6561	286	13	2005	8
6562	286	10	2006	11
6563	286	10	2007	4
6564	286	13	2008	0
6565	286	8	2009	1
6566	286	1	2010	11
6567	286	5	2011	2
6568	286	6	2012	2
6569	286	9	2013	1
6570	286	3	2014	2
6571	286	8	2015	3
6572	286	5	2016	6
6573	286	13	2017	3
6574	286	13	2018	15
6575	286	13	2019	3
6576	286	4	2020	0
6577	286	7	2021	5
6578	286	8	2022	4
6579	287	5	2000	1
6580	287	8	2001	12
6581	287	4	2002	15
6582	287	6	2003	1
6583	287	12	2004	14
6584	287	11	2005	8
6585	287	6	2006	12
6586	287	10	2007	6
6587	287	2	2008	10
6588	287	8	2009	13
6589	287	12	2010	9
6590	287	13	2011	1
6591	287	7	2012	3
6592	287	9	2013	11
6593	287	10	2014	8
6594	287	6	2015	2
6595	287	11	2016	3
6596	287	10	2017	2
6597	287	9	2018	2
6598	287	3	2019	10
6599	287	11	2020	6
6600	287	11	2021	10
6601	287	10	2022	5
6602	288	3	2000	12
6603	288	1	2001	12
6604	288	4	2002	6
6605	288	12	2003	11
6606	288	2	2004	13
6607	288	4	2005	8
6608	288	11	2006	14
6609	288	2	2007	2
6610	288	5	2008	0
6611	288	11	2009	4
6612	288	8	2010	11
6613	288	11	2011	4
6614	288	3	2012	4
6615	288	10	2013	2
6616	288	9	2014	1
6617	288	12	2015	13
6618	288	5	2016	14
6619	288	6	2017	11
6620	288	8	2018	6
6621	288	12	2019	6
6622	288	11	2020	13
6623	288	7	2021	8
6624	288	12	2022	2
6625	289	5	2000	15
6626	289	1	2001	2
6627	289	4	2002	12
6628	289	13	2003	11
6629	289	11	2004	2
6630	289	9	2005	15
6631	289	9	2006	15
6632	289	1	2007	2
6633	289	7	2008	14
6634	289	8	2009	10
6635	289	13	2010	12
6636	289	7	2011	3
6637	289	13	2012	8
6638	289	1	2013	12
6639	289	1	2014	1
6640	289	8	2015	6
6641	289	11	2016	13
6642	289	5	2017	7
6643	289	4	2018	9
6644	289	7	2019	3
6645	289	9	2020	13
6646	289	8	2021	13
6647	289	5	2022	4
6648	290	11	2000	14
6649	290	6	2001	5
6650	290	3	2002	14
6651	290	13	2003	7
6652	290	11	2004	9
6653	290	1	2005	14
6654	290	6	2006	1
6655	290	7	2007	3
6656	290	11	2008	12
6657	290	13	2009	10
6658	290	10	2010	5
6659	290	10	2011	10
6660	290	9	2012	12
6661	290	8	2013	4
6662	290	4	2014	15
6663	290	10	2015	1
6664	290	2	2016	0
6665	290	5	2017	5
6666	290	10	2018	1
6667	290	12	2019	5
6668	290	9	2020	14
6669	290	1	2021	1
6670	290	4	2022	11
6671	291	7	2000	15
6672	291	2	2001	1
6673	291	5	2002	9
6674	291	4	2003	1
6675	291	2	2004	4
6676	291	6	2005	9
6677	291	4	2006	15
6678	291	10	2007	5
6679	291	6	2008	9
6680	291	11	2009	4
6681	291	12	2010	4
6682	291	13	2011	9
6683	291	6	2012	6
6684	291	9	2013	9
6685	291	6	2014	12
6686	291	12	2015	1
6687	291	7	2016	3
6688	291	8	2017	9
6689	291	8	2018	6
6690	291	2	2019	13
6691	291	4	2020	14
6692	291	8	2021	11
6693	291	12	2022	4
6694	292	5	2000	7
6695	292	8	2001	4
6696	292	5	2002	0
6697	292	10	2003	9
6698	292	3	2004	12
6699	292	1	2005	6
6700	292	8	2006	15
6701	292	2	2007	5
6702	292	2	2008	2
6703	292	3	2009	11
6704	292	3	2010	3
6705	292	3	2011	3
6706	292	4	2012	3
6707	292	5	2013	9
6708	292	1	2014	8
6709	292	3	2015	3
6710	292	1	2016	15
6711	292	11	2017	10
6712	292	8	2018	9
6713	292	11	2019	14
6714	292	10	2020	5
6715	292	12	2021	5
6716	292	6	2022	8
6717	293	8	2000	3
6718	293	12	2001	6
6719	293	5	2002	15
6720	293	4	2003	9
6721	293	8	2004	12
6722	293	6	2005	6
6723	293	6	2006	5
6724	293	5	2007	10
6725	293	12	2008	10
6726	293	4	2009	3
6727	293	9	2010	11
6728	293	1	2011	4
6729	293	6	2012	3
6730	293	5	2013	6
6731	293	12	2014	11
6732	293	13	2015	0
6733	293	8	2016	11
6734	293	7	2017	2
6735	293	8	2018	14
6736	293	4	2019	2
6737	293	2	2020	9
6738	293	4	2021	11
6739	293	4	2022	13
6740	294	13	2000	3
6741	294	11	2001	4
6742	294	6	2002	13
6743	294	2	2003	15
6744	294	9	2004	11
6745	294	1	2005	5
6746	294	13	2006	0
6747	294	13	2007	0
6748	294	1	2008	14
6749	294	1	2009	8
6750	294	11	2010	0
6751	294	12	2011	3
6752	294	1	2012	2
6753	294	5	2013	15
6754	294	1	2014	13
6755	294	7	2015	1
6756	294	13	2016	7
6757	294	13	2017	4
6758	294	6	2018	1
6759	294	3	2019	11
6760	294	1	2020	2
6761	294	12	2021	11
6762	294	1	2022	12
6763	295	5	2000	8
6764	295	13	2001	2
6765	295	8	2002	15
6766	295	8	2003	10
6767	295	7	2004	0
6768	295	7	2005	4
6769	295	2	2006	15
6770	295	2	2007	1
6771	295	2	2008	10
6772	295	11	2009	11
6773	295	1	2010	13
6774	295	5	2011	3
6775	295	5	2012	9
6776	295	10	2013	11
6777	295	10	2014	4
6778	295	11	2015	15
6779	295	11	2016	14
6780	295	3	2017	7
6781	295	9	2018	5
6782	295	8	2019	6
6783	295	3	2020	5
6784	295	9	2021	15
6785	295	13	2022	13
6786	296	10	2000	12
6787	296	2	2001	0
6788	296	2	2002	13
6789	296	13	2003	9
6790	296	4	2004	15
6791	296	3	2005	14
6792	296	3	2006	13
6793	296	4	2007	1
6794	296	4	2008	6
6795	296	8	2009	12
6796	296	1	2010	2
6797	296	4	2011	12
6798	296	4	2012	0
6799	296	2	2013	14
6800	296	4	2014	9
6801	296	10	2015	0
6802	296	11	2016	8
6803	296	6	2017	14
6804	296	1	2018	6
6805	296	7	2019	9
6806	296	6	2020	4
6807	296	2	2021	1
6808	296	3	2022	7
6809	297	3	2000	15
6810	297	3	2001	12
6811	297	8	2002	3
6812	297	2	2003	12
6813	297	8	2004	1
6814	297	6	2005	15
6815	297	6	2006	10
6816	297	7	2007	0
6817	297	5	2008	12
6818	297	10	2009	10
6819	297	11	2010	10
6820	297	12	2011	0
6821	297	9	2012	1
6822	297	13	2013	15
6823	297	13	2014	10
6824	297	3	2015	15
6825	297	6	2016	7
6826	297	4	2017	12
6827	297	9	2018	7
6828	297	8	2019	13
6829	297	11	2020	11
6830	297	8	2021	14
6831	297	1	2022	8
6832	298	7	2000	10
6833	298	2	2001	5
6834	298	4	2002	8
6835	298	9	2003	5
6836	298	8	2004	9
6837	298	1	2005	11
6838	298	2	2006	12
6839	298	2	2007	6
6840	298	9	2008	15
6841	298	12	2009	4
6842	298	7	2010	3
6843	298	3	2011	5
6844	298	8	2012	5
6845	298	2	2013	1
6846	298	3	2014	12
6847	298	4	2015	7
6848	298	12	2016	0
6849	298	8	2017	10
6850	298	11	2018	11
6851	298	11	2019	0
6852	298	10	2020	0
6853	298	11	2021	11
6854	298	9	2022	4
6855	299	11	2000	6
6856	299	7	2001	12
6857	299	7	2002	2
6858	299	10	2003	11
6859	299	6	2004	8
6860	299	4	2005	8
6861	299	12	2006	9
6862	299	3	2007	6
6863	299	12	2008	5
6864	299	8	2009	1
6865	299	12	2010	1
6866	299	2	2011	10
6867	299	11	2012	13
6868	299	8	2013	0
6869	299	6	2014	9
6870	299	3	2015	10
6871	299	11	2016	15
6872	299	7	2017	12
6873	299	5	2018	7
6874	299	9	2019	3
6875	299	5	2020	5
6876	299	1	2021	11
6877	299	8	2022	15
6878	300	6	2000	3
6879	300	4	2001	15
6880	300	7	2002	8
6881	300	2	2003	1
6882	300	12	2004	5
6883	300	7	2005	15
6884	300	7	2006	1
6885	300	12	2007	9
6886	300	5	2008	1
6887	300	1	2009	9
6888	300	5	2010	12
6889	300	13	2011	9
6890	300	8	2012	0
6891	300	5	2013	4
6892	300	2	2014	11
6893	300	13	2015	10
6894	300	12	2016	14
6895	300	10	2017	8
6896	300	7	2018	1
6897	300	5	2019	14
6898	300	11	2020	8
6899	300	1	2021	6
6900	300	11	2022	3
6901	301	1	2000	14
6902	301	10	2001	3
6903	301	12	2002	9
6904	301	7	2003	9
6905	301	3	2004	9
6906	301	6	2005	4
6907	301	13	2006	8
6908	301	4	2007	9
6909	301	11	2008	8
6910	301	11	2009	6
6911	301	5	2010	9
6912	301	11	2011	13
6913	301	6	2012	4
6914	301	1	2013	0
6915	301	6	2014	7
6916	301	5	2015	14
6917	301	3	2016	0
6918	301	5	2017	14
6919	301	3	2018	0
6920	301	8	2019	12
6921	301	9	2020	15
6922	301	1	2021	14
6923	301	12	2022	14
6924	302	7	2000	1
6925	302	7	2001	2
6926	302	4	2002	14
6927	302	2	2003	2
6928	302	6	2004	4
6929	302	8	2005	15
6930	302	11	2006	1
6931	302	9	2007	12
6932	302	11	2008	3
6933	302	13	2009	1
6934	302	6	2010	0
6935	302	7	2011	4
6936	302	4	2012	2
6937	302	6	2013	11
6938	302	1	2014	13
6939	302	9	2015	14
6940	302	12	2016	0
6941	302	12	2017	13
6942	302	7	2018	6
6943	302	1	2019	7
6944	302	5	2020	8
6945	302	10	2021	8
6946	302	5	2022	15
6947	303	7	2000	13
6948	303	2	2001	6
6949	303	1	2002	7
6950	303	12	2003	15
6951	303	2	2004	6
6952	303	8	2005	3
6953	303	11	2006	10
6954	303	11	2007	12
6955	303	11	2008	3
6956	303	5	2009	0
6957	303	12	2010	2
6958	303	11	2011	10
6959	303	1	2012	12
6960	303	5	2013	9
6961	303	1	2014	2
6962	303	6	2015	9
6963	303	7	2016	11
6964	303	9	2017	9
6965	303	9	2018	10
6966	303	3	2019	2
6967	303	13	2020	10
6968	303	5	2021	9
6969	303	7	2022	7
6970	304	13	2000	2
6971	304	11	2001	11
6972	304	11	2002	9
6973	304	2	2003	14
6974	304	3	2004	5
6975	304	2	2005	5
6976	304	5	2006	7
6977	304	11	2007	2
6978	304	12	2008	3
6979	304	4	2009	11
6980	304	5	2010	10
6981	304	10	2011	4
6982	304	2	2012	15
6983	304	11	2013	0
6984	304	8	2014	8
6985	304	9	2015	9
6986	304	5	2016	6
6987	304	6	2017	8
6988	304	13	2018	12
6989	304	13	2019	0
6990	304	12	2020	10
6991	304	2	2021	0
6992	304	2	2022	10
6993	305	8	2000	13
6994	305	2	2001	0
6995	305	4	2002	4
6996	305	13	2003	8
6997	305	8	2004	8
6998	305	10	2005	15
6999	305	4	2006	7
7000	305	5	2007	2
7001	305	7	2008	0
7002	305	12	2009	0
7003	305	5	2010	13
7004	305	9	2011	0
7005	305	12	2012	15
7006	305	2	2013	1
7007	305	5	2014	15
7008	305	11	2015	15
7009	305	2	2016	10
7010	305	10	2017	7
7011	305	2	2018	10
7012	305	5	2019	14
7013	305	12	2020	10
7014	305	9	2021	8
7015	305	4	2022	6
7016	306	11	2000	2
7017	306	2	2001	15
7018	306	5	2002	10
7019	306	8	2003	0
7020	306	10	2004	8
7021	306	1	2005	1
7022	306	12	2006	10
7023	306	12	2007	13
7024	306	2	2008	7
7025	306	3	2009	14
7026	306	2	2010	4
7027	306	3	2011	9
7028	306	5	2012	2
7029	306	6	2013	12
7030	306	11	2014	1
7031	306	10	2015	12
7032	306	10	2016	2
7033	306	10	2017	6
7034	306	5	2018	5
7035	306	3	2019	15
7036	306	7	2020	12
7037	306	3	2021	14
7038	306	12	2022	13
7039	307	8	2000	8
7040	307	7	2001	1
7041	307	2	2002	15
7042	307	8	2003	10
7043	307	9	2004	4
7044	307	6	2005	4
7045	307	1	2006	11
7046	307	12	2007	5
7047	307	11	2008	6
7048	307	9	2009	13
7049	307	8	2010	8
7050	307	4	2011	9
7051	307	3	2012	9
7052	307	1	2013	14
7053	307	10	2014	2
7054	307	7	2015	11
7055	307	11	2016	1
7056	307	3	2017	2
7057	307	2	2018	10
7058	307	8	2019	8
7059	307	3	2020	2
7060	307	6	2021	0
7061	307	7	2022	12
7062	308	10	2000	15
7063	308	7	2001	1
7064	308	5	2002	14
7065	308	1	2003	14
7066	308	11	2004	4
7067	308	5	2005	9
7068	308	10	2006	2
7069	308	7	2007	9
7070	308	5	2008	9
7071	308	4	2009	13
7072	308	10	2010	13
7073	308	10	2011	9
7074	308	6	2012	4
7075	308	11	2013	12
7076	308	1	2014	4
7077	308	2	2015	6
7078	308	11	2016	10
7079	308	4	2017	4
7080	308	5	2018	6
7081	308	5	2019	8
7082	308	9	2020	15
7083	308	10	2021	13
7084	308	12	2022	3
7085	309	12	2000	5
7086	309	9	2001	10
7087	309	10	2002	11
7088	309	12	2003	10
7089	309	2	2004	13
7090	309	3	2005	0
7091	309	5	2006	3
7092	309	7	2007	13
7093	309	12	2008	0
7094	309	12	2009	15
7095	309	12	2010	5
7096	309	12	2011	13
7097	309	10	2012	7
7098	309	8	2013	14
7099	309	1	2014	14
7100	309	11	2015	2
7101	309	11	2016	4
7102	309	12	2017	12
7103	309	5	2018	2
7104	309	2	2019	0
7105	309	9	2020	4
7106	309	13	2021	14
7107	309	10	2022	15
7108	310	8	2000	1
7109	310	3	2001	13
7110	310	3	2002	2
7111	310	12	2003	14
7112	310	3	2004	3
7113	310	13	2005	2
7114	310	2	2006	5
7115	310	6	2007	15
7116	310	11	2008	6
7117	310	8	2009	6
7118	310	4	2010	13
7119	310	12	2011	8
7120	310	5	2012	3
7121	310	4	2013	14
7122	310	6	2014	14
7123	310	9	2015	1
7124	310	12	2016	8
7125	310	12	2017	11
7126	310	7	2018	6
7127	310	4	2019	4
7128	310	2	2020	12
7129	310	13	2021	6
7130	310	13	2022	12
7131	311	10	2000	7
7132	311	13	2001	6
7133	311	2	2002	10
7134	311	9	2003	8
7135	311	12	2004	3
7136	311	11	2005	15
7137	311	12	2006	5
7138	311	3	2007	7
7139	311	5	2008	4
7140	311	3	2009	10
7141	311	11	2010	6
7142	311	11	2011	1
7143	311	11	2012	14
7144	311	6	2013	11
7145	311	7	2014	10
7146	311	13	2015	14
7147	311	1	2016	12
7148	311	4	2017	8
7149	311	11	2018	1
7150	311	2	2019	3
7151	311	5	2020	3
7152	311	11	2021	13
7153	311	1	2022	11
7154	312	5	2000	7
7155	312	2	2001	5
7156	312	12	2002	11
7157	312	2	2003	3
7158	312	7	2004	8
7159	312	7	2005	12
7160	312	11	2006	10
7161	312	6	2007	11
7162	312	4	2008	10
7163	312	2	2009	0
7164	312	4	2010	2
7165	312	12	2011	13
7166	312	3	2012	14
7167	312	7	2013	2
7168	312	10	2014	15
7169	312	10	2015	1
7170	312	7	2016	6
7171	312	1	2017	0
7172	312	11	2018	9
7173	312	5	2019	14
7174	312	3	2020	11
7175	312	1	2021	1
7176	312	13	2022	4
7177	313	6	2000	0
7178	313	10	2001	0
7179	313	4	2002	11
7180	313	12	2003	12
7181	313	3	2004	14
7182	313	7	2005	9
7183	313	1	2006	10
7184	313	3	2007	0
7185	313	13	2008	10
7186	313	9	2009	11
7187	313	13	2010	7
7188	313	6	2011	15
7189	313	5	2012	0
7190	313	10	2013	6
7191	313	9	2014	14
7192	313	1	2015	3
7193	313	4	2016	12
7194	313	13	2017	2
7195	313	11	2018	9
7196	313	6	2019	10
7197	313	7	2020	15
7198	313	12	2021	0
7199	313	2	2022	6
7200	314	6	2000	11
7201	314	1	2001	6
7202	314	2	2002	8
7203	314	4	2003	4
7204	314	7	2004	1
7205	314	9	2005	5
7206	314	1	2006	8
7207	314	7	2007	5
7208	314	13	2008	6
7209	314	4	2009	7
7210	314	2	2010	8
7211	314	12	2011	9
7212	314	3	2012	1
7213	314	9	2013	13
7214	314	8	2014	5
7215	314	7	2015	0
7216	314	9	2016	3
7217	314	7	2017	5
7218	314	4	2018	8
7219	314	6	2019	3
7220	314	13	2020	5
7221	314	8	2021	6
7222	314	7	2022	0
7223	315	4	2000	2
7224	315	12	2001	5
7225	315	4	2002	6
7226	315	7	2003	8
7227	315	2	2004	0
7228	315	4	2005	5
7229	315	3	2006	3
7230	315	6	2007	10
7231	315	7	2008	15
7232	315	13	2009	15
7233	315	3	2010	4
7234	315	7	2011	14
7235	315	12	2012	4
7236	315	9	2013	11
7237	315	9	2014	4
7238	315	7	2015	1
7239	315	5	2016	4
7240	315	3	2017	15
7241	315	4	2018	7
7242	315	1	2019	12
7243	315	2	2020	3
7244	315	9	2021	8
7245	315	1	2022	15
7246	316	11	2000	2
7247	316	12	2001	1
7248	316	3	2002	5
7249	316	6	2003	5
7250	316	9	2004	13
7251	316	5	2005	0
7252	316	8	2006	10
7253	316	13	2007	3
7254	316	12	2008	13
7255	316	2	2009	0
7256	316	7	2010	10
7257	316	13	2011	12
7258	316	3	2012	6
7259	316	10	2013	11
7260	316	9	2014	6
7261	316	3	2015	2
7262	316	3	2016	2
7263	316	1	2017	0
7264	316	7	2018	0
7265	316	2	2019	13
7266	316	2	2020	15
7267	316	10	2021	6
7268	316	3	2022	9
7269	317	3	2000	1
7270	317	7	2001	9
7271	317	6	2002	8
7272	317	13	2003	1
7273	317	11	2004	2
7274	317	2	2005	6
7275	317	13	2006	9
7276	317	4	2007	13
7277	317	4	2008	4
7278	317	9	2009	7
7279	317	2	2010	8
7280	317	2	2011	7
7281	317	9	2012	13
7282	317	13	2013	11
7283	317	5	2014	0
7284	317	8	2015	4
7285	317	9	2016	1
7286	317	1	2017	1
7287	317	12	2018	15
7288	317	10	2019	3
7289	317	6	2020	2
7290	317	10	2021	11
7291	317	10	2022	8
7292	318	7	2000	9
7293	318	3	2001	9
7294	318	1	2002	9
7295	318	6	2003	10
7296	318	4	2004	13
7297	318	5	2005	6
7298	318	9	2006	12
7299	318	6	2007	10
7300	318	3	2008	5
7301	318	10	2009	14
7302	318	1	2010	2
7303	318	5	2011	3
7304	318	11	2012	2
7305	318	9	2013	7
7306	318	3	2014	5
7307	318	7	2015	0
7308	318	2	2016	2
7309	318	4	2017	15
7310	318	6	2018	5
7311	318	1	2019	7
7312	318	9	2020	6
7313	318	6	2021	13
7314	318	12	2022	0
7315	319	3	2000	12
7316	319	5	2001	9
7317	319	12	2002	3
7318	319	7	2003	6
7319	319	3	2004	7
7320	319	3	2005	0
7321	319	4	2006	6
7322	319	2	2007	11
7323	319	2	2008	15
7324	319	4	2009	1
7325	319	5	2010	7
7326	319	10	2011	11
7327	319	7	2012	1
7328	319	11	2013	4
7329	319	1	2014	9
7330	319	3	2015	4
7331	319	10	2016	2
7332	319	12	2017	12
7333	319	6	2018	15
7334	319	13	2019	15
7335	319	7	2020	1
7336	319	12	2021	4
7337	319	8	2022	15
7338	320	9	2000	15
7339	320	10	2001	0
7340	320	3	2002	0
7341	320	11	2003	8
7342	320	12	2004	4
7343	320	11	2005	1
7344	320	3	2006	8
7345	320	7	2007	4
7346	320	12	2008	12
7347	320	7	2009	6
7348	320	4	2010	10
7349	320	3	2011	13
7350	320	5	2012	14
7351	320	8	2013	15
7352	320	6	2014	10
7353	320	3	2015	1
7354	320	11	2016	0
7355	320	13	2017	10
7356	320	2	2018	6
7357	320	4	2019	6
7358	320	13	2020	3
7359	320	11	2021	8
7360	320	5	2022	13
7361	321	11	2000	12
7362	321	11	2001	9
7363	321	4	2002	12
7364	321	10	2003	12
7365	321	13	2004	10
7366	321	12	2005	10
7367	321	13	2006	4
7368	321	7	2007	13
7369	321	3	2008	0
7370	321	13	2009	9
7371	321	12	2010	12
7372	321	3	2011	3
7373	321	9	2012	4
7374	321	11	2013	4
7375	321	7	2014	10
7376	321	1	2015	5
7377	321	5	2016	13
7378	321	6	2017	5
7379	321	8	2018	5
7380	321	4	2019	3
7381	321	1	2020	6
7382	321	7	2021	1
7383	321	11	2022	11
7384	322	5	2000	9
7385	322	9	2001	3
7386	322	10	2002	5
7387	322	1	2003	15
7388	322	3	2004	12
7389	322	1	2005	9
7390	322	3	2006	10
7391	322	9	2007	9
7392	322	10	2008	12
7393	322	2	2009	12
7394	322	1	2010	2
7395	322	3	2011	11
7396	322	11	2012	15
7397	322	5	2013	14
7398	322	7	2014	0
7399	322	10	2015	4
7400	322	3	2016	6
7401	322	11	2017	1
7402	322	13	2018	5
