rendszam	tipus	szin	motortipusID	tulajID	uzembehelyezeseve
IUW-978	BMW	citromsárga	5	531	2014
NNW-126	Nissan	szürke	28	267	2011
AGW-620	Subaru	rózsaszín	11	95	2016
DUJ-269	Renault	zöld	27	380	2022
ASM-621	Suzuki	ezüst	22	505	2014
TEA-738	Ford	bordó	27	90	2008
EOQ-672	Volvo	narancs	14	554	2005
TTP-802	Renault	fehér	25	10	2004
VNR-779	Porsche	bordó	9	22	2002
RBG-220	BMW	lila	5	36	2003
ZMG-493	Seat	kék	16	276	1995
OMY-991	Seat	lila	18	637	2013
UXL-481	Suzuki	zöld	17	262	2011
PEL-251	Nissan	fekete	14	105	2009
ONT-007	Suzuki	lila	27	441	1996
OSQ-139	Volkswagen	zöld	30	228	2017
ZAT-017	Ford	kék	8	631	2009
RAE-019	Porsche	kék	29	518	2009
QXI-996	Opel	lila	7	206	2006
SWE-394	Nissan	fehér	17	582	2013
XAY-202	Opel	citromsárga	4	523	2019
ANR-516	Peugeot	kék	30	573	2008
CIR-637	Volkswagen	szürke	17	226	2023
UKE-899	Dacia	szürke	9	104	2008
FPW-496	Volvo	narancs	21	300	2001
AOW-448	Volvo	bordó	23	47	2021
YLW-414	Peugeot	barna	7	493	2009
IUR-334	Ford	fehér	25	65	2003
BNW-342	Subaru	rózsaszín	24	153	1997
DTU-147	Opel	barna	24	160	2007
HFJ-074	Skoda	barna	18	118	2020
GWT-482	Ford	citromsárga	25	510	2002
FNW-730	Ford	lila	22	532	2000
ABW-835	Seat	lila	7	277	1998
TGO-263	BMW	arany	30	282	1999
LKE-077	Opel	lila	27	553	2019
GJZ-014	Honda	szürke	30	192	2010
PUG-338	Dacia	ezüst	22	227	2016
OQS-679	Honda	narancs	19	347	2006
JJI-873	Volkswagen	lila	12	187	1997
PFE-461	Volvo	rózsaszín	20	328	2016
OHO-281	Volvo	barna	26	408	2002
VHP-440	Suzuki	kék	26	572	1997
UNL-866	Opel	citromsárga	5	579	2016
YMV-258	Skoda	narancs	2	612	2012
MJG-048	Toyota	szürke	19	636	2021
SIR-614	Opel	lila	9	76	2007
NJU-173	Nissan	narancs	13	140	2008
NUU-812	Dacia	citromsárga	23	146	2004
PEF-801	Ford	narancs	21	42	1996
QIB-143	Nissan	lila	23	530	2011
VCI-962	Suzuki	narancs	5	52	2017
MTM-558	Toyota	lila	16	177	2009
DAJ-893	Toyota	kék	24	303	2011
ELN-428	Skoda	ezüst	10	363	2019
LMX-406	Seat	fekete	20	199	2005
TTK-814	Skoda	lila	12	346	2022
NMW-278	Nissan	lila	7	140	1996
UYI-518	Porsche	barna	25	49	2006
ZLU-226	Toyota	bordó	7	11	2011
VIG-504	Opel	narancs	10	314	2022
UDY-713	Honda	ezüst	15	493	1996
COV-135	Toyota	ezüst	15	151	2009
IRY-073	Honda	zöld	15	182	2006
TZI-295	Volvo	fekete	10	604	2019
PCI-851	Dacia	zöld	22	556	1998
EAU-331	Subaru	zöld	2	527	2017
JAZ-355	BMW	fekete	1	526	2001
ERP-523	Ford	lila	12	336	1996
JVC-484	Renault	zöld	1	73	1997
LKW-904	Dacia	narancs	9	569	2007
EDZ-875	Ford	ezüst	11	290	2010
WWO-106	Porsche	fehér	8	529	2014
UKF-558	Opel	lila	29	516	2012
JVD-379	Opel	lila	17	564	2011
BSE-594	Suzuki	fehér	24	455	2010
IUQ-020	Nissan	lila	17	244	2008
RLB-258	Opel	lila	27	626	2016
NIK-185	Dacia	lila	4	324	2001
PJI-167	Porsche	lila	21	558	2013
JMJ-308	Ford	fekete	28	464	2021
VYT-716	Opel	narancs	14	191	2002
EFP-783	Ford	zöld	22	549	1995
LLM-339	Ford	barna	7	50	2015
NNZ-423	Renault	arany	7	155	2008
VLR-415	Nissan	kék	13	121	2001
MKM-670	Volkswagen	barna	12	406	2000
FHQ-381	Honda	bordó	29	262	2013
GBT-245	Toyota	arany	21	563	2014
WGZ-728	Honda	rózsaszín	11	196	2015
IXM-332	Volkswagen	rózsaszín	30	470	2023
CXL-506	Honda	citromsárga	28	524	2018
HIZ-594	Skoda	narancs	21	508	2005
NEO-199	Renault	arany	20	137	2004
USY-825	Peugeot	zöld	20	473	2019
YOY-414	Nissan	rózsaszín	3	481	2013
EMA-855	Toyota	ezüst	11	166	2015
TPY-835	Nissan	fekete	29	364	1998
RYR-537	Renault	arany	28	253	2011
BUJ-109	Seat	szürke	1	336	2021
RPV-758	Porsche	bordó	9	401	2018
YTE-290	Subaru	narancs	24	642	2007
YMA-210	Honda	narancs	16	11	2008
AVZ-942	Volkswagen	fehér	3	462	2005
EYQ-086	Ford	bordó	21	611	2003
GLD-708	Toyota	ezüst	8	206	2018
XUU-169	Renault	narancs	30	147	1995
QRY-411	Honda	arany	23	511	1995
THM-076	Opel	rózsaszín	10	378	2015
UUP-663	Honda	bordó	26	218	1998
MYK-108	Renault	fekete	3	425	2005
FCJ-080	Opel	arany	16	578	2013
EJN-495	Nissan	citromsárga	17	500	2014
PMM-815	Peugeot	kék	30	279	2001
ZDO-729	Opel	lila	17	140	2001
QBI-106	Dacia	ezüst	21	461	2003
SXF-029	Volkswagen	zöld	12	246	2005
DMW-156	Nissan	lila	9	331	2000
BMU-314	Renault	arany	27	165	2004
PSP-259	Ford	fekete	14	393	2021
UXF-183	Dacia	lila	29	371	2008
PQU-698	Suzuki	szürke	17	645	2007
FUH-884	Honda	zöld	7	312	2020
VMI-084	BMW	lila	19	420	2015
SXQ-458	Volvo	lila	30	599	2023
RZG-871	BMW	fehér	2	576	2012
FXY-831	BMW	lila	4	443	1997
RKS-425	Suzuki	lila	27	519	2010
VWC-844	Honda	kék	16	372	2023
CZR-010	Ford	lila	28	82	2021
FWH-286	Porsche	arany	2	89	2022
UKQ-711	Suzuki	szürke	13	38	2016
NXF-324	Skoda	arany	22	528	2014
EOI-321	Renault	rózsaszín	3	649	2001
NHW-011	Porsche	fekete	10	39	2007
YXQ-461	Volvo	citromsárga	9	155	2000
OJH-009	Renault	lila	22	348	2018
ROB-354	Honda	kék	16	520	2005
MZA-653	Volvo	ezüst	30	167	2020
SSZ-295	Dacia	lila	21	74	2021
OEH-981	Skoda	lila	8	328	2010
TBN-792	Nissan	ezüst	16	470	2007
FUC-676	Subaru	ezüst	30	498	2013
TYM-057	Volvo	ezüst	5	502	2006
LYF-661	Opel	arany	28	246	2019
DTI-124	Porsche	kék	19	631	2001
ZWY-865	Opel	piros	18	255	2002
MVF-120	BMW	ezüst	9	440	2001
MTF-797	Honda	szürke	24	333	2009
YYS-569	Seat	rózsaszín	30	477	2004
UYN-082	Toyota	zöld	22	109	2005
OJF-589	Porsche	rózsaszín	9	80	1998
UME-467	Volkswagen	citromsárga	12	579	2003
URM-582	Honda	narancs	17	374	2005
ZVU-570	Skoda	citromsárga	5	52	2018
OJD-602	Toyota	narancs	23	437	1996
EGU-335	Peugeot	zöld	17	29	1997
OXX-709	Subaru	zöld	29	477	2019
KMF-828	BMW	kék	30	590	1999
CWZ-872	Volkswagen	lila	6	143	2008
ZJN-512	Volkswagen	barna	9	395	2020
MXQ-171	BMW	bordó	26	571	2010
LIM-191	Honda	piros	27	119	1995
IUB-113	BMW	bordó	3	532	2019
POB-153	Toyota	ezüst	13	175	2020
MYP-678	Skoda	rózsaszín	18	307	2010
IWM-889	Skoda	lila	4	156	1998
FFN-792	Nissan	bordó	17	388	2023
YIG-221	Nissan	ezüst	12	168	2001
NEG-063	Porsche	kék	1	639	2022
AOZ-268	Seat	rózsaszín	6	605	2023
LZZ-846	Toyota	narancs	15	71	2006
TMO-219	Subaru	fehér	8	140	2023
ALA-321	BMW	piros	15	457	2011
AYC-581	Dacia	ezüst	27	174	2002
RAK-944	Porsche	szürke	14	187	2002
OGG-896	Skoda	ezüst	9	298	2010
TCJ-333	Subaru	fekete	2	550	2016
PWC-119	Suzuki	rózsaszín	18	230	2022
DQE-672	Porsche	barna	18	89	1996
RKZ-302	Dacia	lila	8	114	2007
TXU-184	Honda	rózsaszín	15	295	2018
PVC-790	Dacia	bordó	14	116	2008
HSX-571	Opel	rózsaszín	10	559	2000
FZW-474	BMW	narancs	24	95	2018
WEA-847	Volkswagen	narancs	10	177	2004
QMK-758	Nissan	lila	19	266	2000
ORE-135	Seat	zöld	17	222	2016
QYE-179	Renault	barna	13	217	2022
KQQ-987	Seat	barna	27	650	2004
DPO-562	Nissan	fehér	25	601	2003
XVS-820	Volkswagen	fehér	7	535	2003
MTF-803	Skoda	lila	25	606	2001
AFD-496	BMW	piros	11	158	2016
GEV-076	Suzuki	piros	21	512	1999
FDL-548	Subaru	bordó	19	351	2008
GUH-126	Honda	szürke	20	259	2017
PVE-581	Volkswagen	fekete	30	219	2015
MSG-119	Suzuki	zöld	1	226	2020
XEU-706	Skoda	piros	5	175	2019
JPV-780	Honda	szürke	21	413	2007
EWE-529	Subaru	zöld	10	399	2015
BQR-011	Dacia	rózsaszín	22	91	2002
NAY-522	Ford	kék	11	89	2022
ZYJ-401	Honda	lila	18	648	1997
RPD-336	Peugeot	fekete	15	291	1997
XDR-810	BMW	kék	2	483	2000
KYO-396	Seat	ezüst	25	484	1997
MVE-870	Seat	kék	9	242	2014
VHJ-086	BMW	bordó	5	385	2008
VRN-030	Porsche	zöld	1	439	1998
XUQ-872	Volkswagen	citromsárga	13	164	1995
CNG-371	BMW	rózsaszín	5	599	1995
ALG-827	Opel	citromsárga	24	311	2021
ONY-028	Nissan	bordó	21	311	2003
MZN-165	Seat	lila	7	94	2022
CMY-256	Toyota	zöld	20	608	2020
YZY-288	Toyota	kék	17	301	2008
INV-864	Volvo	arany	28	604	2017
HXN-931	Seat	rózsaszín	3	516	2017
SLV-902	Toyota	piros	8	116	1997
EMD-401	Seat	fekete	23	571	2018
UTW-830	Renault	narancs	17	212	2009
MKI-542	Opel	arany	25	339	2010
RMP-681	Volvo	zöld	3	394	2016
TUZ-479	Seat	fehér	7	153	2014
RFS-555	BMW	kék	10	76	1995
KKW-560	Porsche	arany	26	432	2012
HYQ-472	Honda	kék	16	650	1996
UMJ-451	Ford	fekete	2	199	2001
WZI-711	Toyota	ezüst	19	44	2012
EOH-450	Volvo	piros	12	510	2008
ALM-771	Honda	piros	14	570	2010
YJU-849	Skoda	fekete	4	232	2002
NKX-649	BMW	ezüst	20	311	2009
WSJ-074	Volkswagen	arany	15	214	2015
ANP-667	Porsche	bordó	9	616	1996
NKZ-543	Renault	bordó	13	231	1996
JBH-856	Nissan	arany	17	285	2013
UTI-890	Volvo	barna	2	517	2019
SGK-021	Skoda	bordó	14	501	2018
MRR-342	Opel	arany	21	545	2013
TLU-457	Subaru	kék	26	148	1996
CIL-825	Ford	lila	22	645	2011
OQK-392	Nissan	lila	12	292	2013
HFY-162	Porsche	narancs	2	461	2018
BJC-578	Honda	barna	14	357	2012
AVC-864	Nissan	kék	17	628	2001
VGN-482	Dacia	fekete	7	29	2008
FUG-607	Seat	lila	17	300	2021
PAD-974	Ford	narancs	9	546	2023
PYO-612	Porsche	lila	28	561	2011
OZW-808	Seat	narancs	27	178	2014
MPL-829	Skoda	lila	25	332	2017
BEX-288	Porsche	barna	14	249	2001
ZTV-560	Suzuki	lila	9	510	2001
CIB-864	Suzuki	citromsárga	20	438	2014
KMY-726	Skoda	narancs	25	454	1999
LFA-029	Opel	ezüst	19	591	2012
DFS-421	Volvo	fehér	21	183	2023
YSK-628	Dacia	citromsárga	12	155	2020
EPA-124	Suzuki	bordó	22	414	2014
BBA-971	Porsche	rózsaszín	4	505	2014
MZB-462	Seat	barna	25	480	2007
PZL-513	Opel	fekete	8	591	2022
ICR-433	Volkswagen	rózsaszín	22	408	2002
UGG-760	Porsche	lila	12	251	2006
LRU-930	Suzuki	arany	29	19	1999
UCE-372	Honda	zöld	27	153	2005
FLJ-978	Ford	citromsárga	5	575	1998
QPI-834	Ford	piros	30	7	2005
VWB-304	Skoda	lila	17	49	2009
TEM-471	Renault	arany	24	420	2021
NVZ-987	Ford	ezüst	9	160	2019
IUF-086	Nissan	piros	7	289	1999
KZH-949	Honda	fehér	25	166	2005
CCN-591	BMW	lila	16	380	2001
FUP-129	Volvo	arany	8	624	2002
VBA-085	Porsche	lila	19	20	1995
AKJ-586	Nissan	narancs	25	413	2014
VKT-473	Peugeot	lila	28	518	2018
WVP-086	Skoda	fehér	4	272	2014
CMX-052	Subaru	zöld	10	120	2020
CEO-665	Peugeot	barna	1	538	2000
HFG-359	Opel	kék	26	581	2000
ICI-687	BMW	arany	29	500	2003
DLQ-215	Ford	bordó	27	449	2003
WFF-929	Honda	lila	15	633	1998
NVL-914	Opel	narancs	25	182	1999
WGA-760	Nissan	zöld	2	80	2001
NFE-982	BMW	arany	19	326	2005
SFI-070	Honda	arany	15	95	2002
GHD-561	Ford	lila	20	551	2021
QQI-868	Opel	citromsárga	8	400	2005
UDF-369	Honda	lila	28	196	2023
GAK-332	Peugeot	lila	25	82	2000
VQX-541	Subaru	rózsaszín	4	444	2011
BKN-434	Dacia	fekete	15	602	2014
OCH-317	Opel	barna	21	156	2018
FNX-193	Opel	fekete	28	426	2002
CQP-808	Renault	arany	27	442	1996
HQP-990	Nissan	piros	21	151	2002
QOP-959	Suzuki	kék	17	300	2013
MYC-341	Skoda	piros	2	163	2009
BSM-517	Skoda	bordó	1	500	2008
OKX-331	Suzuki	piros	12	446	2006
DCC-341	Seat	piros	14	269	2003
UUG-719	Renault	barna	26	375	2003
RXH-299	Porsche	lila	7	424	2023
WQO-532	Dacia	piros	21	78	1998
UMV-201	Honda	lila	2	205	2012
UBA-111	Renault	ezüst	8	478	1997
QLZ-919	Renault	lila	29	552	1999
AJY-932	Skoda	szürke	2	487	2008
YMX-313	Volvo	lila	28	177	1997
TWB-664	Volkswagen	piros	13	201	2013
ZMD-293	Toyota	kék	16	376	2015
NQF-589	Seat	szürke	8	34	1995
XGU-639	Volkswagen	piros	9	88	2004
ZCI-151	Suzuki	zöld	6	500	2013
CKB-506	Honda	narancs	1	436	2022
WXG-040	Toyota	fehér	29	397	2007
GHK-969	BMW	citromsárga	18	494	2000
KOX-315	BMW	rózsaszín	24	273	2022
HRR-613	Volkswagen	rózsaszín	9	551	2013
SJM-207	Porsche	lila	18	527	2014
XRQ-340	Volvo	piros	15	592	2010
YWO-413	Volkswagen	barna	25	642	2013
JUN-900	Nissan	ezüst	8	590	1998
PGF-820	Peugeot	barna	11	38	2001
PIP-743	Seat	ezüst	1	437	2014
NFS-652	Toyota	kék	10	293	2000
XLP-150	Skoda	bordó	25	289	2012
FML-020	Ford	bordó	11	612	2008
WDU-894	Subaru	bordó	20	248	1998
YQE-585	Suzuki	rózsaszín	23	650	2003
XJG-323	Volvo	zöld	12	452	2022
XQK-529	Dacia	arany	29	52	2000
FVR-442	Peugeot	lila	25	159	2023
CKF-418	Renault	szürke	11	347	2018
XLY-880	Suzuki	lila	1	24	1998
NSE-979	Renault	arany	5	462	2017
ASM-927	Peugeot	szürke	18	430	1998
ERD-786	Skoda	arany	13	526	2022
RVN-671	Toyota	bordó	10	579	2005
CHJ-795	Skoda	ezüst	26	545	2003
OUC-898	Skoda	fehér	18	395	2020
JCE-160	Toyota	citromsárga	27	482	2022
UUZ-866	Renault	arany	28	528	1998
KMY-249	Seat	fekete	9	494	2016
UOW-860	Suzuki	narancs	19	288	1997
UNA-379	Volvo	lila	14	476	2022
ZWD-843	Skoda	ezüst	25	138	1995
XOO-616	Ford	fehér	13	372	2014
XPN-108	Volkswagen	barna	15	313	1999
ZXK-961	Honda	arany	25	324	2018
EFM-516	Subaru	zöld	25	430	2003
VSH-807	Honda	citromsárga	27	592	2022
RJL-538	Volkswagen	bordó	12	95	2002
UHK-088	Nissan	barna	19	629	2002
VMJ-321	Volkswagen	ezüst	2	265	2001
NGK-984	Dacia	zöld	20	645	2017
CEA-187	Porsche	piros	5	4	2009
SZK-907	BMW	lila	30	619	2010
HFN-953	Ford	arany	7	44	2021
UOP-625	Seat	arany	29	271	2013
