id	ev	hanyadik	palyaid	nev	datum	ido
386	1988	15	22	"Japanese Grand Prix"	"1988-10-30"	"\N"
387	1988	16	29	"Australian Grand Prix"	"1988-11-13"	"\N"
388	1987	1	36	"Brazilian Grand Prix"	"1987-04-12"	"\N"
389	1987	2	21	"San Marino Grand Prix"	"1987-05-03"	"\N"
390	1987	3	13	"Belgian Grand Prix"	"1987-05-17"	"\N"
391	1987	4	6	"Monaco Grand Prix"	"1987-05-31"	"\N"
392	1987	5	37	"Detroit Grand Prix"	"1987-06-21"	"\N"
393	1987	6	34	"French Grand Prix"	"1987-07-05"	"\N"
394	1987	7	9	"British Grand Prix"	"1987-07-12"	"\N"
395	1987	8	10	"German Grand Prix"	"1987-07-26"	"\N"
396	1987	9	11	"Hungarian Grand Prix"	"1987-08-09"	"\N"
397	1987	10	70	"Austrian Grand Prix"	"1987-08-16"	"\N"
398	1987	11	14	"Italian Grand Prix"	"1987-09-06"	"\N"
399	1987	12	27	"Portuguese Grand Prix"	"1987-09-20"	"\N"
400	1987	13	26	"Spanish Grand Prix"	"1987-09-27"	"\N"
401	1987	14	32	"Mexican Grand Prix"	"1987-10-18"	"\N"
402	1987	15	22	"Japanese Grand Prix"	"1987-11-01"	"\N"
403	1987	16	29	"Australian Grand Prix"	"1987-11-15"	"\N"
404	1986	1	36	"Brazilian Grand Prix"	"1986-03-23"	"\N"
405	1986	2	26	"Spanish Grand Prix"	"1986-04-13"	"\N"
406	1986	3	21	"San Marino Grand Prix"	"1986-04-27"	"\N"
407	1986	4	6	"Monaco Grand Prix"	"1986-05-11"	"\N"
408	1986	5	13	"Belgian Grand Prix"	"1986-05-25"	"\N"
409	1986	6	7	"Canadian Grand Prix"	"1986-06-15"	"\N"
410	1986	7	37	"Detroit Grand Prix"	"1986-06-22"	"\N"
411	1986	8	34	"French Grand Prix"	"1986-07-06"	"\N"
412	1986	9	38	"British Grand Prix"	"1986-07-13"	"\N"
413	1986	10	10	"German Grand Prix"	"1986-07-27"	"\N"
414	1986	11	11	"Hungarian Grand Prix"	"1986-08-10"	"\N"
415	1986	12	70	"Austrian Grand Prix"	"1986-08-17"	"\N"
416	1986	13	14	"Italian Grand Prix"	"1986-09-07"	"\N"
417	1986	14	27	"Portuguese Grand Prix"	"1986-09-21"	"\N"
418	1986	15	32	"Mexican Grand Prix"	"1986-10-12"	"\N"
419	1986	16	29	"Australian Grand Prix"	"1986-10-26"	"\N"
420	1985	1	36	"Brazilian Grand Prix"	"1985-04-07"	"\N"
421	1985	2	27	"Portuguese Grand Prix"	"1985-04-21"	"\N"
422	1985	3	21	"San Marino Grand Prix"	"1985-05-05"	"\N"
423	1985	4	6	"Monaco Grand Prix"	"1985-05-19"	"\N"
424	1985	5	7	"Canadian Grand Prix"	"1985-06-16"	"\N"
425	1985	6	37	"Detroit Grand Prix"	"1985-06-23"	"\N"
426	1985	7	34	"French Grand Prix"	"1985-07-07"	"\N"
427	1985	8	9	"British Grand Prix"	"1985-07-21"	"\N"
428	1985	9	20	"German Grand Prix"	"1985-08-04"	"\N"
429	1985	10	70	"Austrian Grand Prix"	"1985-08-18"	"\N"
430	1985	11	39	"Dutch Grand Prix"	"1985-08-25"	"\N"
431	1985	12	14	"Italian Grand Prix"	"1985-09-08"	"\N"
432	1985	13	13	"Belgian Grand Prix"	"1985-09-15"	"\N"
433	1985	14	38	"European Grand Prix"	"1985-10-06"	"\N"
434	1985	15	30	"South African Grand Prix"	"1985-10-19"	"\N"
435	1985	16	29	"Australian Grand Prix"	"1985-11-03"	"\N"
436	1984	1	36	"Brazilian Grand Prix"	"1984-03-25"	"\N"
437	1984	2	30	"South African Grand Prix"	"1984-04-07"	"\N"
438	1984	3	40	"Belgian Grand Prix"	"1984-04-29"	"\N"
439	1984	4	21	"San Marino Grand Prix"	"1984-05-06"	"\N"
440	1984	5	41	"French Grand Prix"	"1984-05-20"	"\N"
441	1984	6	6	"Monaco Grand Prix"	"1984-06-03"	"\N"
442	1984	7	7	"Canadian Grand Prix"	"1984-06-17"	"\N"
443	1984	8	37	"Detroit Grand Prix"	"1984-06-24"	"\N"
444	1984	9	42	"Dallas Grand Prix"	"1984-07-08"	"\N"
445	1984	10	38	"British Grand Prix"	"1984-07-22"	"\N"
446	1984	11	10	"German Grand Prix"	"1984-08-05"	"\N"
447	1984	12	70	"Austrian Grand Prix"	"1984-08-19"	"\N"
448	1984	13	39	"Dutch Grand Prix"	"1984-08-26"	"\N"
449	1984	14	14	"Italian Grand Prix"	"1984-09-09"	"\N"
450	1984	15	20	"European Grand Prix"	"1984-10-07"	"\N"
451	1984	16	27	"Portuguese Grand Prix"	"1984-10-21"	"\N"
452	1983	1	36	"Brazilian Grand Prix"	"1983-03-13"	"\N"
453	1983	2	43	"United States Grand Prix West"	"1983-03-27"	"\N"
454	1983	3	34	"French Grand Prix"	"1983-04-17"	"\N"
455	1983	4	21	"San Marino Grand Prix"	"1983-05-01"	"\N"
456	1983	5	6	"Monaco Grand Prix"	"1983-05-15"	"\N"
457	1983	6	13	"Belgian Grand Prix"	"1983-05-22"	"\N"
458	1983	7	37	"Detroit Grand Prix"	"1983-06-05"	"\N"
459	1983	8	7	"Canadian Grand Prix"	"1983-06-12"	"\N"
460	1983	9	9	"British Grand Prix"	"1983-07-16"	"\N"
461	1983	10	10	"German Grand Prix"	"1983-08-07"	"\N"
462	1983	11	70	"Austrian Grand Prix"	"1983-08-14"	"\N"
463	1983	12	39	"Dutch Grand Prix"	"1983-08-28"	"\N"
464	1983	13	14	"Italian Grand Prix"	"1983-09-11"	"\N"
465	1983	14	38	"European Grand Prix"	"1983-09-25"	"\N"
466	1983	15	30	"South African Grand Prix"	"1983-10-15"	"\N"
467	1982	1	30	"South African Grand Prix"	"1982-01-23"	"\N"
468	1982	2	36	"Brazilian Grand Prix"	"1982-03-21"	"\N"
469	1982	3	43	"United States Grand Prix West"	"1982-04-04"	"\N"
470	1982	4	21	"San Marino Grand Prix"	"1982-04-25"	"\N"
471	1982	5	40	"Belgian Grand Prix"	"1982-05-09"	"\N"
472	1982	6	6	"Monaco Grand Prix"	"1982-05-23"	"\N"
473	1982	7	37	"Detroit Grand Prix"	"1982-06-06"	"\N"
474	1982	8	7	"Canadian Grand Prix"	"1982-06-13"	"\N"
475	1982	9	39	"Dutch Grand Prix"	"1982-07-03"	"\N"
476	1982	10	38	"British Grand Prix"	"1982-07-18"	"\N"
477	1982	11	34	"French Grand Prix"	"1982-07-25"	"\N"
478	1982	12	10	"German Grand Prix"	"1982-08-08"	"\N"
479	1982	13	70	"Austrian Grand Prix"	"1982-08-15"	"\N"
480	1982	14	41	"Swiss Grand Prix"	"1982-08-29"	"\N"
481	1982	15	14	"Italian Grand Prix"	"1982-09-12"	"\N"
482	1982	16	44	"Caesars Palace Grand Prix"	"1982-09-25"	"\N"
483	1981	1	43	"United States Grand Prix West"	"1981-03-15"	"\N"
484	1981	2	36	"Brazilian Grand Prix"	"1981-03-29"	"\N"
485	1981	3	25	"Argentine Grand Prix"	"1981-04-12"	"\N"
486	1981	4	21	"San Marino Grand Prix"	"1981-05-03"	"\N"
487	1981	5	40	"Belgian Grand Prix"	"1981-05-17"	"\N"
488	1981	6	6	"Monaco Grand Prix"	"1981-05-31"	"\N"
489	1981	7	45	"Spanish Grand Prix"	"1981-06-21"	"\N"
490	1981	8	41	"French Grand Prix"	"1981-07-05"	"\N"
491	1981	9	9	"British Grand Prix"	"1981-07-18"	"\N"
492	1981	10	10	"German Grand Prix"	"1981-08-02"	"\N"
493	1981	11	70	"Austrian Grand Prix"	"1981-08-16"	"\N"
494	1981	12	39	"Dutch Grand Prix"	"1981-08-30"	"\N"
495	1981	13	14	"Italian Grand Prix"	"1981-09-13"	"\N"
496	1981	14	7	"Canadian Grand Prix"	"1981-09-27"	"\N"
497	1981	15	44	"Caesars Palace Grand Prix"	"1981-10-17"	"\N"
498	1980	1	25	"Argentine Grand Prix"	"1980-01-13"	"\N"
499	1980	2	18	"Brazilian Grand Prix"	"1980-01-27"	"\N"
500	1980	3	30	"South African Grand Prix"	"1980-03-01"	"\N"
501	1980	4	43	"United States Grand Prix West"	"1980-03-30"	"\N"
502	1980	5	40	"Belgian Grand Prix"	"1980-05-04"	"\N"
503	1980	6	6	"Monaco Grand Prix"	"1980-05-18"	"\N"
504	1980	7	34	"French Grand Prix"	"1980-06-29"	"\N"
505	1980	8	38	"British Grand Prix"	"1980-07-13"	"\N"
506	1980	9	10	"German Grand Prix"	"1980-08-10"	"\N"
507	1980	10	70	"Austrian Grand Prix"	"1980-08-17"	"\N"
508	1980	11	39	"Dutch Grand Prix"	"1980-08-31"	"\N"
509	1980	12	21	"Italian Grand Prix"	"1980-09-14"	"\N"
510	1980	13	7	"Canadian Grand Prix"	"1980-09-28"	"\N"
511	1980	14	46	"United States Grand Prix"	"1980-10-05"	"\N"
512	1979	1	25	"Argentine Grand Prix"	"1979-01-21"	"\N"
513	1979	2	18	"Brazilian Grand Prix"	"1979-02-04"	"\N"
514	1979	3	30	"South African Grand Prix"	"1979-03-03"	"\N"
515	1979	4	43	"United States Grand Prix West"	"1979-04-08"	"\N"
516	1979	5	45	"Spanish Grand Prix"	"1979-04-29"	"\N"
517	1979	6	40	"Belgian Grand Prix"	"1979-05-13"	"\N"
518	1979	7	6	"Monaco Grand Prix"	"1979-05-27"	"\N"
519	1979	8	41	"French Grand Prix"	"1979-07-01"	"\N"
520	1979	9	9	"British Grand Prix"	"1979-07-14"	"\N"
521	1979	10	10	"German Grand Prix"	"1979-07-29"	"\N"
522	1979	11	70	"Austrian Grand Prix"	"1979-08-12"	"\N"
523	1979	12	39	"Dutch Grand Prix"	"1979-08-26"	"\N"
524	1979	13	14	"Italian Grand Prix"	"1979-09-09"	"\N"
525	1979	14	7	"Canadian Grand Prix"	"1979-09-30"	"\N"
526	1979	15	46	"United States Grand Prix"	"1979-10-07"	"\N"
527	1978	1	25	"Argentine Grand Prix"	"1978-01-15"	"\N"
528	1978	2	36	"Brazilian Grand Prix"	"1978-01-29"	"\N"
529	1978	3	30	"South African Grand Prix"	"1978-03-04"	"\N"
530	1978	4	43	"United States Grand Prix West"	"1978-04-02"	"\N"
531	1978	5	6	"Monaco Grand Prix"	"1978-05-07"	"\N"
532	1978	6	40	"Belgian Grand Prix"	"1978-05-21"	"\N"
533	1978	7	45	"Spanish Grand Prix"	"1978-06-04"	"\N"
534	1978	8	47	"Swedish Grand Prix"	"1978-06-17"	"\N"
535	1978	9	34	"French Grand Prix"	"1978-07-02"	"\N"
536	1978	10	38	"British Grand Prix"	"1978-07-16"	"\N"
537	1978	11	10	"German Grand Prix"	"1978-07-30"	"\N"
538	1978	12	70	"Austrian Grand Prix"	"1978-08-13"	"\N"
539	1978	13	39	"Dutch Grand Prix"	"1978-08-27"	"\N"
540	1978	14	14	"Italian Grand Prix"	"1978-09-10"	"\N"
541	1978	15	46	"United States Grand Prix"	"1978-10-01"	"\N"
542	1978	16	7	"Canadian Grand Prix"	"1978-10-08"	"\N"
543	1977	1	25	"Argentine Grand Prix"	"1977-01-09"	"\N"
544	1977	2	18	"Brazilian Grand Prix"	"1977-01-23"	"\N"
545	1977	3	30	"South African Grand Prix"	"1977-03-05"	"\N"
546	1977	4	43	"United States Grand Prix West"	"1977-04-03"	"\N"
547	1977	5	45	"Spanish Grand Prix"	"1977-05-08"	"\N"
548	1977	6	6	"Monaco Grand Prix"	"1977-05-22"	"\N"
549	1977	7	40	"Belgian Grand Prix"	"1977-06-05"	"\N"
550	1977	8	47	"Swedish Grand Prix"	"1977-06-19"	"\N"
551	1977	9	41	"French Grand Prix"	"1977-07-03"	"\N"
552	1977	10	9	"British Grand Prix"	"1977-07-16"	"\N"
553	1977	11	10	"German Grand Prix"	"1977-07-31"	"\N"
554	1977	12	70	"Austrian Grand Prix"	"1977-08-14"	"\N"
555	1977	13	39	"Dutch Grand Prix"	"1977-08-28"	"\N"
556	1977	14	14	"Italian Grand Prix"	"1977-09-11"	"\N"
557	1977	15	46	"United States Grand Prix"	"1977-10-02"	"\N"
558	1977	16	48	"Canadian Grand Prix"	"1977-10-09"	"\N"
559	1977	17	16	"Japanese Grand Prix"	"1977-10-23"	"\N"
560	1976	1	18	"Brazilian Grand Prix"	"1976-01-25"	"\N"
561	1976	2	30	"South African Grand Prix"	"1976-03-06"	"\N"
562	1976	3	43	"United States Grand Prix West"	"1976-03-28"	"\N"
563	1976	4	45	"Spanish Grand Prix"	"1976-05-02"	"\N"
564	1976	5	40	"Belgian Grand Prix"	"1976-05-16"	"\N"
565	1976	6	6	"Monaco Grand Prix"	"1976-05-30"	"\N"
566	1976	7	47	"Swedish Grand Prix"	"1976-06-13"	"\N"
567	1976	8	34	"French Grand Prix"	"1976-07-04"	"\N"
568	1976	9	38	"British Grand Prix"	"1976-07-18"	"\N"
569	1976	10	20	"German Grand Prix"	"1976-08-01"	"\N"
570	1976	11	70	"Austrian Grand Prix"	"1976-08-15"	"\N"
571	1976	12	39	"Dutch Grand Prix"	"1976-08-29"	"\N"
572	1976	13	14	"Italian Grand Prix"	"1976-09-12"	"\N"
573	1976	14	48	"Canadian Grand Prix"	"1976-10-03"	"\N"
574	1976	15	46	"United States Grand Prix"	"1976-10-10"	"\N"
575	1976	16	16	"Japanese Grand Prix"	"1976-10-24"	"\N"
576	1975	1	25	"Argentine Grand Prix"	"1975-01-12"	"\N"
577	1975	2	18	"Brazilian Grand Prix"	"1975-01-26"	"\N"
578	1975	3	30	"South African Grand Prix"	"1975-03-01"	"\N"
579	1975	4	49	"Spanish Grand Prix"	"1975-04-27"	"\N"
580	1975	5	6	"Monaco Grand Prix"	"1975-05-11"	"\N"
581	1975	6	40	"Belgian Grand Prix"	"1975-05-25"	"\N"
582	1975	7	47	"Swedish Grand Prix"	"1975-06-08"	"\N"
583	1975	8	39	"Dutch Grand Prix"	"1975-06-22"	"\N"
584	1975	9	34	"French Grand Prix"	"1975-07-06"	"\N"
585	1975	10	9	"British Grand Prix"	"1975-07-19"	"\N"
586	1975	11	20	"German Grand Prix"	"1975-08-03"	"\N"
587	1975	12	70	"Austrian Grand Prix"	"1975-08-17"	"\N"
588	1975	13	14	"Italian Grand Prix"	"1975-09-07"	"\N"
589	1975	14	46	"United States Grand Prix"	"1975-10-05"	"\N"
590	1974	1	25	"Argentine Grand Prix"	"1974-01-13"	"\N"
591	1974	2	18	"Brazilian Grand Prix"	"1974-01-27"	"\N"
592	1974	3	30	"South African Grand Prix"	"1974-03-30"	"\N"
593	1974	4	45	"Spanish Grand Prix"	"1974-04-28"	"\N"
594	1974	5	50	"Belgian Grand Prix"	"1974-05-12"	"\N"
595	1974	6	6	"Monaco Grand Prix"	"1974-05-26"	"\N"
596	1974	7	47	"Swedish Grand Prix"	"1974-06-09"	"\N"
597	1974	8	39	"Dutch Grand Prix"	"1974-06-23"	"\N"
598	1974	9	41	"French Grand Prix"	"1974-07-07"	"\N"
599	1974	10	38	"British Grand Prix"	"1974-07-20"	"\N"
600	1974	11	20	"German Grand Prix"	"1974-08-04"	"\N"
601	1974	12	70	"Austrian Grand Prix"	"1974-08-18"	"\N"
602	1974	13	14	"Italian Grand Prix"	"1974-09-08"	"\N"
603	1974	14	48	"Canadian Grand Prix"	"1974-09-22"	"\N"
604	1974	15	46	"United States Grand Prix"	"1974-10-06"	"\N"
605	1973	1	25	"Argentine Grand Prix"	"1973-01-28"	"\N"
606	1973	2	18	"Brazilian Grand Prix"	"1973-02-11"	"\N"
607	1973	3	30	"South African Grand Prix"	"1973-03-03"	"\N"
608	1973	4	49	"Spanish Grand Prix"	"1973-04-29"	"\N"
609	1973	5	40	"Belgian Grand Prix"	"1973-05-20"	"\N"
610	1973	6	6	"Monaco Grand Prix"	"1973-06-03"	"\N"
611	1973	7	47	"Swedish Grand Prix"	"1973-06-17"	"\N"
612	1973	8	34	"French Grand Prix"	"1973-07-01"	"\N"
613	1973	9	9	"British Grand Prix"	"1973-07-14"	"\N"
614	1973	10	39	"Dutch Grand Prix"	"1973-07-29"	"\N"
615	1973	11	20	"German Grand Prix"	"1973-08-05"	"\N"
616	1973	12	70	"Austrian Grand Prix"	"1973-08-19"	"\N"
617	1973	13	14	"Italian Grand Prix"	"1973-09-09"	"\N"
618	1973	14	48	"Canadian Grand Prix"	"1973-09-23"	"\N"
619	1973	15	46	"United States Grand Prix"	"1973-10-07"	"\N"
620	1972	1	25	"Argentine Grand Prix"	"1972-01-23"	"\N"
621	1972	2	30	"South African Grand Prix"	"1972-03-04"	"\N"
622	1972	3	45	"Spanish Grand Prix"	"1972-05-01"	"\N"
623	1972	4	6	"Monaco Grand Prix"	"1972-05-14"	"\N"
624	1972	5	50	"Belgian Grand Prix"	"1972-06-04"	"\N"
625	1972	6	51	"French Grand Prix"	"1972-07-02"	"\N"
626	1972	7	38	"British Grand Prix"	"1972-07-15"	"\N"
627	1972	8	20	"German Grand Prix"	"1972-07-30"	"\N"
628	1972	9	70	"Austrian Grand Prix"	"1972-08-13"	"\N"
629	1972	10	14	"Italian Grand Prix"	"1972-09-10"	"\N"
630	1972	11	48	"Canadian Grand Prix"	"1972-09-24"	"\N"
631	1972	12	46	"United States Grand Prix"	"1972-10-08"	"\N"
632	1971	1	30	"South African Grand Prix"	"1971-03-06"	"\N"
633	1971	2	49	"Spanish Grand Prix"	"1971-04-18"	"\N"
634	1971	3	6	"Monaco Grand Prix"	"1971-05-23"	"\N"
635	1971	4	39	"Dutch Grand Prix"	"1971-06-20"	"\N"
636	1971	5	34	"French Grand Prix"	"1971-07-04"	"\N"
637	1971	6	9	"British Grand Prix"	"1971-07-17"	"\N"
638	1971	7	20	"German Grand Prix"	"1971-08-01"	"\N"
639	1971	8	70	"Austrian Grand Prix"	"1971-08-15"	"\N"
640	1971	9	14	"Italian Grand Prix"	"1971-09-05"	"\N"
641	1971	10	48	"Canadian Grand Prix"	"1971-09-19"	"\N"
642	1971	11	46	"United States Grand Prix"	"1971-10-03"	"\N"
643	1970	1	30	"South African Grand Prix"	"1970-03-07"	"\N"
644	1970	2	45	"Spanish Grand Prix"	"1970-04-19"	"\N"
645	1970	3	6	"Monaco Grand Prix"	"1970-05-10"	"\N"
646	1970	4	13	"Belgian Grand Prix"	"1970-06-07"	"\N"
647	1970	5	39	"Dutch Grand Prix"	"1970-06-21"	"\N"
648	1970	6	51	"French Grand Prix"	"1970-07-05"	"\N"
649	1970	7	38	"British Grand Prix"	"1970-07-18"	"\N"
650	1970	8	10	"German Grand Prix"	"1970-08-02"	"\N"
651	1970	9	70	"Austrian Grand Prix"	"1970-08-16"	"\N"
652	1970	10	14	"Italian Grand Prix"	"1970-09-06"	"\N"
653	1970	11	52	"Canadian Grand Prix"	"1970-09-20"	"\N"
654	1970	12	46	"United States Grand Prix"	"1970-10-04"	"\N"
655	1970	13	32	"Mexican Grand Prix"	"1970-10-25"	"\N"
656	1969	1	30	"South African Grand Prix"	"1969-03-01"	"\N"
657	1969	2	49	"Spanish Grand Prix"	"1969-05-04"	"\N"
658	1969	3	6	"Monaco Grand Prix"	"1969-05-18"	"\N"
659	1969	4	39	"Dutch Grand Prix"	"1969-06-21"	"\N"
660	1969	5	51	"French Grand Prix"	"1969-07-06"	"\N"
661	1969	6	9	"British Grand Prix"	"1969-07-19"	"\N"
662	1969	7	20	"German Grand Prix"	"1969-08-03"	"\N"
663	1969	8	14	"Italian Grand Prix"	"1969-09-07"	"\N"
664	1969	9	48	"Canadian Grand Prix"	"1969-09-20"	"\N"
665	1969	10	46	"United States Grand Prix"	"1969-10-05"	"\N"
666	1969	11	32	"Mexican Grand Prix"	"1969-10-19"	"\N"
667	1968	1	30	"South African Grand Prix"	"1968-01-01"	"\N"
668	1968	2	45	"Spanish Grand Prix"	"1968-05-12"	"\N"
669	1968	3	6	"Monaco Grand Prix"	"1968-05-26"	"\N"
670	1968	4	13	"Belgian Grand Prix"	"1968-06-09"	"\N"
671	1968	5	39	"Dutch Grand Prix"	"1968-06-23"	"\N"
672	1968	6	53	"French Grand Prix"	"1968-07-07"	"\N"
673	1968	7	38	"British Grand Prix"	"1968-07-20"	"\N"
674	1968	8	20	"German Grand Prix"	"1968-08-04"	"\N"
675	1968	9	14	"Italian Grand Prix"	"1968-09-08"	"\N"
676	1968	10	52	"Canadian Grand Prix"	"1968-09-22"	"\N"
677	1968	11	46	"United States Grand Prix"	"1968-10-06"	"\N"
678	1968	12	32	"Mexican Grand Prix"	"1968-11-03"	"\N"
679	1967	1	30	"South African Grand Prix"	"1967-01-02"	"\N"
680	1967	2	6	"Monaco Grand Prix"	"1967-05-07"	"\N"
681	1967	3	39	"Dutch Grand Prix"	"1967-06-04"	"\N"
682	1967	4	13	"Belgian Grand Prix"	"1967-06-18"	"\N"
683	1967	5	54	"French Grand Prix"	"1967-07-02"	"\N"
684	1967	6	9	"British Grand Prix"	"1967-07-15"	"\N"
685	1967	7	20	"German Grand Prix"	"1967-08-06"	"\N"
686	1967	8	48	"Canadian Grand Prix"	"1967-08-27"	"\N"
687	1967	9	14	"Italian Grand Prix"	"1967-09-10"	"\N"
688	1967	10	46	"United States Grand Prix"	"1967-10-01"	"\N"
689	1967	11	32	"Mexican Grand Prix"	"1967-10-22"	"\N"
690	1966	1	6	"Monaco Grand Prix"	"1966-05-22"	"\N"
691	1966	2	13	"Belgian Grand Prix"	"1966-06-12"	"\N"
692	1966	3	55	"French Grand Prix"	"1966-07-03"	"\N"
693	1966	4	38	"British Grand Prix"	"1966-07-16"	"\N"
694	1966	5	39	"Dutch Grand Prix"	"1966-07-24"	"\N"
695	1966	6	20	"German Grand Prix"	"1966-08-07"	"\N"
696	1966	7	14	"Italian Grand Prix"	"1966-09-04"	"\N"
697	1966	8	46	"United States Grand Prix"	"1966-10-02"	"\N"
698	1966	9	32	"Mexican Grand Prix"	"1966-10-23"	"\N"
699	1965	1	56	"South African Grand Prix"	"1965-01-01"	"\N"
700	1965	2	6	"Monaco Grand Prix"	"1965-05-30"	"\N"
701	1965	3	13	"Belgian Grand Prix"	"1965-06-13"	"\N"
702	1965	4	51	"French Grand Prix"	"1965-06-27"	"\N"
703	1965	5	9	"British Grand Prix"	"1965-07-10"	"\N"
704	1965	6	39	"Dutch Grand Prix"	"1965-07-18"	"\N"
705	1965	7	20	"German Grand Prix"	"1965-08-01"	"\N"
706	1965	8	14	"Italian Grand Prix"	"1965-09-12"	"\N"
707	1965	9	46	"United States Grand Prix"	"1965-10-03"	"\N"
708	1965	10	32	"Mexican Grand Prix"	"1965-10-24"	"\N"
709	1964	1	6	"Monaco Grand Prix"	"1964-05-10"	"\N"
710	1964	2	39	"Dutch Grand Prix"	"1964-05-24"	"\N"
711	1964	3	13	"Belgian Grand Prix"	"1964-06-14"	"\N"
712	1964	4	53	"French Grand Prix"	"1964-06-28"	"\N"
713	1964	5	38	"British Grand Prix"	"1964-07-11"	"\N"
714	1964	6	20	"German Grand Prix"	"1964-08-02"	"\N"
715	1964	7	57	"Austrian Grand Prix"	"1964-08-23"	"\N"
716	1964	8	14	"Italian Grand Prix"	"1964-09-06"	"\N"
717	1964	9	46	"United States Grand Prix"	"1964-10-04"	"\N"
718	1964	10	32	"Mexican Grand Prix"	"1964-10-25"	"\N"
719	1963	1	6	"Monaco Grand Prix"	"1963-05-26"	"\N"
720	1963	2	13	"Belgian Grand Prix"	"1963-06-09"	"\N"
721	1963	3	39	"Dutch Grand Prix"	"1963-06-23"	"\N"
722	1963	4	55	"French Grand Prix"	"1963-06-30"	"\N"
723	1963	5	9	"British Grand Prix"	"1963-07-20"	"\N"
724	1963	6	20	"German Grand Prix"	"1963-08-04"	"\N"
725	1963	7	14	"Italian Grand Prix"	"1963-09-08"	"\N"
726	1963	8	46	"United States Grand Prix"	"1963-10-06"	"\N"
727	1963	9	32	"Mexican Grand Prix"	"1963-10-27"	"\N"
728	1963	10	56	"South African Grand Prix"	"1963-12-28"	"\N"
729	1962	1	39	"Dutch Grand Prix"	"1962-05-20"	"\N"
730	1962	2	6	"Monaco Grand Prix"	"1962-06-03"	"\N"
731	1962	3	13	"Belgian Grand Prix"	"1962-06-17"	"\N"
732	1962	4	53	"French Grand Prix"	"1962-07-08"	"\N"
733	1962	5	58	"British Grand Prix"	"1962-07-21"	"\N"
734	1962	6	20	"German Grand Prix"	"1962-08-05"	"\N"
735	1962	7	14	"Italian Grand Prix"	"1962-09-16"	"\N"
736	1962	8	46	"United States Grand Prix"	"1962-10-07"	"\N"
737	1962	9	56	"South African Grand Prix"	"1962-12-29"	"\N"
738	1961	1	6	"Monaco Grand Prix"	"1961-05-14"	"\N"
739	1961	2	39	"Dutch Grand Prix"	"1961-05-22"	"\N"
740	1961	3	13	"Belgian Grand Prix"	"1961-06-18"	"\N"
741	1961	4	55	"French Grand Prix"	"1961-07-02"	"\N"
742	1961	5	58	"British Grand Prix"	"1961-07-15"	"\N"
743	1961	6	20	"German Grand Prix"	"1961-08-06"	"\N"
744	1961	7	14	"Italian Grand Prix"	"1961-09-10"	"\N"
745	1961	8	46	"United States Grand Prix"	"1961-10-08"	"\N"
746	1960	1	25	"Argentine Grand Prix"	"1960-02-07"	"\N"
747	1960	2	6	"Monaco Grand Prix"	"1960-05-29"	"\N"
748	1960	3	19	"Indianapolis 500"	"1960-05-30"	"\N"
749	1960	4	39	"Dutch Grand Prix"	"1960-06-06"	"\N"
750	1960	5	13	"Belgian Grand Prix"	"1960-06-19"	"\N"
751	1960	6	55	"French Grand Prix"	"1960-07-03"	"\N"
752	1960	7	9	"British Grand Prix"	"1960-07-16"	"\N"
753	1960	8	59	"Portuguese Grand Prix"	"1960-08-14"	"\N"
754	1960	9	14	"Italian Grand Prix"	"1960-09-04"	"\N"
755	1960	10	60	"United States Grand Prix"	"1960-11-20"	"\N"
756	1959	1	6	"Monaco Grand Prix"	"1959-05-10"	"\N"
757	1959	2	19	"Indianapolis 500"	"1959-05-30"	"\N"
758	1959	3	39	"Dutch Grand Prix"	"1959-05-31"	"\N"
759	1959	4	55	"French Grand Prix"	"1959-07-05"	"\N"
760	1959	5	58	"British Grand Prix"	"1959-07-18"	"\N"
761	1959	6	61	"German Grand Prix"	"1959-08-02"	"\N"
762	1959	7	62	"Portuguese Grand Prix"	"1959-08-23"	"\N"
763	1959	8	14	"Italian Grand Prix"	"1959-09-13"	"\N"
764	1959	9	63	"United States Grand Prix"	"1959-12-12"	"\N"
765	1958	1	25	"Argentine Grand Prix"	"1958-01-19"	"\N"
766	1958	2	6	"Monaco Grand Prix"	"1958-05-18"	"\N"
767	1958	3	39	"Dutch Grand Prix"	"1958-05-26"	"\N"
768	1958	4	19	"Indianapolis 500"	"1958-05-30"	"\N"
769	1958	5	13	"Belgian Grand Prix"	"1958-06-15"	"\N"
770	1958	6	55	"French Grand Prix"	"1958-07-06"	"\N"
771	1958	7	9	"British Grand Prix"	"1958-07-19"	"\N"
772	1958	8	20	"German Grand Prix"	"1958-08-03"	"\N"
773	1958	9	59	"Portuguese Grand Prix"	"1958-08-24"	"\N"
774	1958	10	14	"Italian Grand Prix"	"1958-09-07"	"\N"
775	1958	11	64	"Moroccan Grand Prix"	"1958-10-19"	"\N"
776	1957	1	25	"Argentine Grand Prix"	"1957-01-13"	"\N"
777	1957	2	6	"Monaco Grand Prix"	"1957-05-19"	"\N"
778	1957	3	19	"Indianapolis 500"	"1957-05-30"	"\N"
779	1957	4	53	"French Grand Prix"	"1957-07-07"	"\N"
780	1957	5	58	"British Grand Prix"	"1957-07-20"	"\N"
781	1957	6	20	"German Grand Prix"	"1957-08-04"	"\N"
782	1957	7	65	"Pescara Grand Prix"	"1957-08-18"	"\N"
783	1957	8	14	"Italian Grand Prix"	"1957-09-08"	"\N"
784	1956	1	25	"Argentine Grand Prix"	"1956-01-22"	"\N"
